year,month,cpi,gdp,federal fund rate,10yr,sp500,crude oil,UNRATE,industrial production,dollar index,home price,gold,vix
2002,5,0.00111544896821,0.037,0.000258464716981,-0.011769904908,-0.0294656597741,0.0264679407284,-0.0169491525424,0.0044,-0.0123195434336,0.0132539216509,0.0381297162163,0.00941047485985
2002,6,0.000557103064067,0.022,-0.00431524547752,-0.0484827767805,-0.0604296770392,-0.0522083747919,0.0,0.0095,-0.0111934450407,0.0127493997848,0.0201600099387,0.258031814995
2002,7,0.0022271714922,0.022,-0.00838242545247,-0.056454903296,-0.108926894899,0.0545682298599,0.0,-0.0023,-0.0137935363953,0.0111174691408,-0.0244846450798,0.347376259527
2002,8,0.00277777777778,0.022,0.00994504056372,-0.0804574495218,0.00991901500057,0.0467706013363,-0.0172413793103,0.0003,0.0112359459949,0.00840811706686,-0.00903428323554,-0.00901093326517
2002,9,0.0016620498615,0.02,-5.18268976419e-05,-0.0879128969285,-0.0490285746732,0.0521276595745,0.0,0.0014,0.006931923307,0.00609316122825,0.028798487943,0.115721906405
2002,10,0.00221238938053,0.02,0.00316160464652,0.0111959557553,-0.015188422898,-0.0271977257061,0.0,-0.0033,0.00774600089374,0.00510000796876,-0.00939487334989,-0.0638676279089
2002,11,0.00165562913907,0.02,-0.241430882812,0.0329609275455,0.0647018139526,-0.0926295176082,0.0350877192982,0.0051,-0.0103039452446,0.00404344723698,0.00873174495265,-0.200551450179
2002,12,0.00165289256198,0.003,-0.0663399429209,-0.00557795531107,-0.0118134738889,0.122333869238,0.0169491525424,-0.0049,-0.00533794841183,0.00402716361339,0.0506840604208,0.0012591371961
2003,1,0.004400440044,0.003,0.00764233855254,-0.00161206636179,-0.00371609204972,0.112480964262,-0.0333333333333,0.0058,-0.0120054875326,0.00393236335037,0.0660877223742,-0.0278687417714
2003,2,0.00547645125958,0.003,0.0034129692867,-0.0292609542775,-0.064986979731,0.0927730355608,0.0172413793103,0.0032,-0.00126828119347,0.00532706619663,-6.87485348841e-05,0.174813498818
2003,3,0.0016339869281,0.021,-0.00755857898413,-0.0256793804188,0.010747704826,-0.0721169795878,0.0,-0.0023,-0.00390133797943,0.00763656198862,-0.0490411814944,-0.0491686211349
2003,4,-0.00380641653072,0.021,0.00979713355861,0.037348222233,0.0512676436601,-0.151418969381,0.0169491525424,-0.0072,-0.00791925859831,0.00912535766762,-0.0317075297509,-0.216828328049
2003,5,-0.00163755458515,0.021,0.00462820116918,-0.0996594143961,0.0516132760207,-0.00231869340645,0.0166666666667,0.0002,-0.0328248618305,0.0103456203541,0.0829882391908,-0.15640196098
2003,6,0.00109349371241,0.038,-0.0307807807827,-0.0626133410778,0.0555923566356,0.0872463866441,0.0327868852459,0.0015,-0.00511392860315,0.0105430825243,-0.000370119496788,0.00607015975555
2003,7,0.00327689787002,0.038,-0.169301457644,0.185667037329,0.00459676313396,0.00598793477057,-0.015873015873,0.0042,0.00981140716029,0.0106582601516,-0.0143651373372,-0.0589821651411
2003,8,0.00435492651062,0.038,-0.0115921758113,0.12218141224,-0.00302750826463,0.0291467064262,-0.0161290322581,-0.0019,0.011502491882,0.00972892684738,0.0266755995844,0.00589321720744
2003,9,0.00325203252033,0.069,0.00424528302313,-0.0348482447859,0.0302264129676,-0.103987702324,0.0,0.0063,-0.0105560441528,0.00823771697558,0.0511970407002,0.0133906512504
2003,10,-0.00108049702863,0.069,0.00207096801785,-2.73448763349e-05,0.0189245144622,0.0718363192013,-0.016393442623,0.0013,-0.0205197263433,0.00656550919171,-0.00146264318679,-0.077251344584
2003,11,0.000540832882639,0.069,-0.020034799901,0.00528728107773,0.0107497922961,0.0234268784643,-0.0333333333333,0.0082,-0.00106066274193,0.00572546745905,0.031134975313,-0.034534157075
2003,12,0.0027027027027,0.048,-0.00923295454553,-0.00838860193724,0.0292749994399,0.0349776518191,-0.0172413793103,-0.0007,-0.0135906324227,0.00619730489299,0.0475966755353,-0.0330261052229
2004,1,0.00431266846361,0.048,0.0138248847923,-0.0293774433582,0.048009800619,0.0647853652405,0.0,0.002,-0.0159117257489,0.00773472749409,0.0120869650765,-0.0431087579036
2004,2,0.00214707461084,0.048,0.00578947368,-0.0158838759429,0.00957055038002,0.00804281298553,-0.0175438596491,0.0061,0.00389836643951,0.00945206452988,-0.023993556831,-0.00637096748028
2004,3,0.00214247455811,0.023,-0.00186562918891,-0.0620147360147,-0.0169472545893,0.0642974165101,0.0357142857143,-0.0049,0.0101499690467,0.0144325542101,0.00850337509854,0.105571058928
2004,4,0.00160342063068,0.023,0.00244104098051,0.134534864157,0.0080953484312,-0.00276685770224,-0.0344827586207,0.0043,0.00708038470917,0.0145048233743,-0.0071993567581,-0.112442804113
2004,5,0.0042689434365,0.023,-0.00532971996027,0.0869709711365,-0.02673872068,0.100045516613,0.0,0.0082,0.0157722319957,0.0147763031879,-0.0494603841646,0.127809627808
2004,6,0.00371944739639,0.03,0.0303333030569,0.00541027001238,0.0271818514003,-0.0553742847691,0.0,-0.0082,-0.00903237106628,0.0146959687205,0.0191615265857,-0.132609835803
2004,7,0.00105876124934,0.03,0.231379462323,-0.0523700471388,-0.023756615758,0.0724869843814,-0.0178571428571,0.0076,-0.0070515341726,0.0120914164231,0.0159294621987,0.00945736434514
2004,8,0.000528820729773,0.03,0.123120973512,-0.0462893735987,-0.0152929580381,0.0998837327717,-0.0181818181818,0.0008,0.00150951993914,0.0096494682946,0.00879085750819,0.0762276427297
2004,9,0.00317124735729,0.037,0.13742450454,-0.0349790381397,0.0263754865809,0.0234825600016,0.0,0.0008,-0.00380776781316,0.00845198621676,0.0111135003008,-0.156025194437
2004,10,0.00526870389884,0.037,0.0829762254189,-0.00996827106714,0.000368969414309,0.155780613462,0.0185185185185,0.0095,-0.0142234166969,0.00767197472761,0.0367187345916,0.0634088603271
2004,11,0.00471698113208,0.037,0.0944792259533,0.0262039517917,0.0454964002565,-0.0869839547251,-0.0181818181818,0.0019,-0.0256445856189,0.00767754318618,0.0449133893108,-0.0932739704268
2004,12,0.0,0.035,0.123697121799,0.00776347413516,0.0258985698226,-0.107669018861,0.0,0.0072,-0.0109258902282,0.00742857142857,0.00601036072062,-0.0823146235083
